"Date","Candidate","AverageScore"
"2024-04-11T00:00:00Z","Trump","44.58"
"2024-04-11T00:00:00Z","Kennedy","8.17"
"2024-04-12T00:00:00Z","Biden","41.2"
"2024-04-12T00:00:00Z","Trump","44.29"
"2024-04-12T00:00:00Z","Kennedy","10.75"
"2024-04-13T00:00:00Z","Biden","41.04"
"2024-04-13T00:00:00Z","Trump","43.95"
"2024-04-13T00:00:00Z","Kennedy","14.4"
"2024-04-14T00:00:00Z","Biden","42.5"
"2024-04-14T00:00:00Z","Trump","43.5"
"2024-04-14T00:00:00Z","Kennedy","3"
"2024-04-15T00:00:00Z","Biden","40.93"
"2024-04-15T00:00:00Z","Trump","45.8"
"2024-04-15T00:00:00Z","Kennedy","10.2"
"2024-04-16T00:00:00Z","Biden","42.32"
"2024-04-16T00:00:00Z","Trump","44.07"
"2024-04-16T00:00:00Z","Kennedy","11.43"
"2024-04-17T00:00:00Z","Biden","41"
"2024-04-17T00:00:00Z","Trump","43"
"2024-04-17T00:00:00Z","Kennedy","8"
"2024-04-18T00:00:00Z","Biden","42.5"
"2024-04-18T00:00:00Z","Trump","45"
"2024-04-18T00:00:00Z","Kennedy","16"
"2024-04-19T00:00:00Z","Biden","44.33"
"2024-04-19T00:00:00Z","Trump","45.75"
"2024-04-19T00:00:00Z","Kennedy","9"
"2024-04-20T00:00:00Z","Biden","41.8"
"2024-04-20T00:00:00Z","Trump","45.5"
"2024-04-21T00:00:00Z","Biden","43"
"2024-04-21T00:00:00Z","Trump","43.5"
"2024-04-21T00:00:00Z","Kennedy","3"
"2024-04-22T00:00:00Z","Biden","41"
"2024-04-22T00:00:00Z","Trump","45.25"
"2024-04-22T00:00:00Z","Kennedy","10.5"
"2024-04-23T00:00:00Z","Biden","44"
"2024-04-23T00:00:00Z","Trump","44"
"2024-04-24T00:00:00Z","Biden","41.83"
"2024-04-24T00:00:00Z","Trump","45.83"
"2024-04-24T00:00:00Z","Kennedy","11.67"
"2024-04-25T00:00:00Z","Biden","39.76"
"2024-04-25T00:00:00Z","Trump","43.45"
"2024-04-25T00:00:00Z","Kennedy","7.17"
"2024-04-26T00:00:00Z","Biden","42.03"
"2024-04-26T00:00:00Z","Trump","43.1"
"2024-04-26T00:00:00Z","Kennedy","9.73"
"2024-04-27T00:00:00Z","Biden","41.4"
"2024-04-27T00:00:00Z","Trump","43"
"2024-04-27T00:00:00Z","Kennedy","13.5"
"2024-04-28T00:00:00Z","Biden","41.06"
"2024-04-28T00:00:00Z","Trump","44.8"
"2024-04-28T00:00:00Z","Kennedy","8.79"
"2024-04-29T00:00:00Z","Biden","41.89"
"2024-04-29T00:00:00Z","Trump","44.57"
"2024-04-29T00:00:00Z","Kennedy","8.25"
"2024-04-30T00:00:00Z","Biden","39.35"
"2024-04-30T00:00:00Z","Trump","43"
"2024-04-30T00:00:00Z","Kennedy","8"
"2024-05-01T00:00:00Z","Biden","40.29"
"2024-05-01T00:00:00Z","Trump","43.38"
"2024-05-01T00:00:00Z","Kennedy","11"
"2024-05-02T00:00:00Z","Biden","39.5"
"2024-05-02T00:00:00Z","Trump","43.9"
"2024-05-02T00:00:00Z","Kennedy","7.29"
"2024-05-03T00:00:00Z","Biden","42.48"
"2024-05-03T00:00:00Z","Trump","42.9"
"2024-05-03T00:00:00Z","Kennedy","9.03"
"2024-05-04T00:00:00Z","Biden","41.05"
"2024-05-04T00:00:00Z","Trump","42.8"
"2024-05-04T00:00:00Z","Kennedy","8.8"
"2024-05-05T00:00:00Z","Biden","43.5"
"2024-05-05T00:00:00Z","Trump","43"
"2024-05-05T00:00:00Z","Kennedy","3"
"2024-05-06T00:00:00Z","Biden","41.69"
"2024-05-06T00:00:00Z","Trump","44.21"
"2024-05-06T00:00:00Z","Kennedy","9.98"
"2024-05-07T00:00:00Z","Biden","41.86"
"2024-05-07T00:00:00Z","Trump","45.38"
"2024-05-07T00:00:00Z","Kennedy","9"
"2024-05-08T00:00:00Z","Biden","42.23"
"2024-05-08T00:00:00Z","Trump","45.71"
"2024-05-08T00:00:00Z","Kennedy","7.17"
"2024-05-09T00:00:00Z","Biden","42.4"
"2024-05-09T00:00:00Z","Trump","45.43"
"2024-05-09T00:00:00Z","Kennedy","9.89"
"2024-05-10T00:00:00Z","Biden","42.08"
"2024-05-10T00:00:00Z","Trump","45.16"
"2024-05-10T00:00:00Z","Kennedy","9.78"
"2024-05-11T00:00:00Z","Biden","43"
"2024-05-11T00:00:00Z","Trump","44"
"2024-05-12T00:00:00Z","Biden","41.5"
"2024-05-12T00:00:00Z","Trump","42.67"
"2024-05-12T00:00:00Z","Kennedy","5.5"
"2024-05-13T00:00:00Z","Biden","40.75"
"2024-05-13T00:00:00Z","Trump","43.45"
"2024-05-13T00:00:00Z","Kennedy","8"
"2024-05-14T00:00:00Z","Biden","41.9"
"2024-05-14T00:00:00Z","Trump","43.53"
"2024-05-14T00:00:00Z","Kennedy","8.8"
"2024-05-15T00:00:00Z","Biden","41.61"
"2024-05-15T00:00:00Z","Trump","43.56"
"2024-05-15T00:00:00Z","Kennedy","10.6"
"2024-05-16T00:00:00Z","Biden","41.13"
"2024-05-16T00:00:00Z","Trump","43.64"
"2024-05-16T00:00:00Z","Kennedy","10"
"2024-05-17T00:00:00Z","Biden","41.8"
"2024-05-17T00:00:00Z","Trump","44"
"2024-05-17T00:00:00Z","Kennedy","11.2"
"2024-05-18T00:00:00Z","Biden","43"
"2024-05-18T00:00:00Z","Trump","44"
"2024-05-19T00:00:00Z","Biden","40.91"
"2024-05-19T00:00:00Z","Trump","43.34"
"2024-05-19T00:00:00Z","Kennedy","7.56"
"2024-05-20T00:00:00Z","Biden","44"
"2024-05-20T00:00:00Z","Trump","46.33"
"2024-05-20T00:00:00Z","Kennedy","5"
"2024-05-21T00:00:00Z","Biden","40.74"
"2024-05-21T00:00:00Z","Trump","44.63"
"2024-05-21T00:00:00Z","Kennedy","7.63"
"2024-05-22T00:00:00Z","Biden","41.33"
"2024-05-22T00:00:00Z","Trump","43.67"
"2024-05-22T00:00:00Z","Kennedy","9"
"2024-05-23T00:00:00Z","Biden","43.2"
"2024-05-23T00:00:00Z","Trump","43.35"
"2024-05-23T00:00:00Z","Kennedy","10.55"
"2024-05-24T00:00:00Z","Biden","40.75"
"2024-05-24T00:00:00Z","Trump","42.67"
"2024-05-24T00:00:00Z","Kennedy","9"
"2024-05-25T00:00:00Z","Biden","41.5"
"2024-05-25T00:00:00Z","Trump","42.5"
"2024-05-25T00:00:00Z","Kennedy","4"
"2024-05-26T00:00:00Z","Biden","42"
"2024-05-26T00:00:00Z","Trump","44"
